C:\Users\nitin\Desktop\DATA\IMG\center_2023_10_08_15_34_19_857.jpg, C:\Users\nitin\Desktop\DATA\IMG\left_2023_10_08_15_34_19_857.jpg, C:\Users\nitin\Desktop\DATA\IMG\right_2023_10_08_15_34_19_857.jpg, 0, 0, 0, 7.789622E-05
C:\Users\nitin\Desktop\DATA\IMG\center_2023_10_08_15_34_19_961.jpg, C:\Users\nitin\Desktop\DATA\IMG\left_2023_10_08_15_34_19_961.jpg, C:\Users\nitin\Desktop\DATA\IMG\right_2023_10_08_15_34_19_961.jpg, 0, 0, 0, 7.837541E-05
C:\Users\nitin\Desktop\DATA\IMG\center_2023_10_08_15_34_20_067.jpg, C:\Users\nitin\Desktop\DATA\IMG\left_2023_10_08_15_34_20_067.jpg, C:\Users\nitin\Desktop\DATA\IMG\right_2023_10_08_15_34_20_067.jpg, 0, 0, 0, 7.783314E-05
C:\Users\nitin\Desktop\DATA\IMG\center_2023_10_08_15_34_20_168.jpg, C:\Users\nitin\Desktop\DATA\IMG\left_2023_10_08_15_34_20_168.jpg, C:\Users\nitin\Desktop\DATA\IMG\right_2023_10_08_15_34_20_168.jpg, 0, 0, 0, 7.908692E-05
C:\Users\nitin\Desktop\DATA\IMG\center_2023_10_08_15_34_20_270.jpg, C:\Users\nitin\Desktop\DATA\IMG\left_2023_10_08_15_34_20_270.jpg, C:\Users\nitin\Desktop\DATA\IMG\right_2023_10_08_15_34_20_270.jpg, 0, 0, 0, 7.923039E-05
C:\Users\nitin\Desktop\DATA\IMG\center_2023_10_08_15_34_20_374.jpg, C:\Users\nitin\Desktop\DATA\IMG\left_2023_10_08_15_34_20_374.jpg, C:\Users\nitin\Desktop\DATA\IMG\right_2023_10_08_15_34_20_374.jpg, 0, 0, 0, 7.811611E-05
C:\Users\nitin\Desktop\DATA\IMG\center_2023_10_08_15_34_20_477.jpg, C:\Users\nitin\Desktop\DATA\IMG\left_2023_10_08_15_34_20_477.jpg, C:\Users\nitin\Desktop\DATA\IMG\right_2023_10_08_15_34_20_477.jpg, 0, 0, 0, 7.820724E-05
C:\Users\nitin\Desktop\DATA\IMG\center_2023_10_08_15_34_20_582.jpg, C:\Users\nitin\Desktop\DATA\IMG\left_2023_10_08_15_34_20_582.jpg, C:\Users\nitin\Desktop\DATA\IMG\right_2023_10_08_15_34_20_582.jpg, 0, 0, 0, 7.882094E-05
C:\Users\nitin\Desktop\DATA\IMG\center_2023_10_08_15_34_20_683.jpg, C:\Users\nitin\Desktop\DATA\IMG\left_2023_10_08_15_34_20_683.jpg, C:\Users\nitin\Desktop\DATA\IMG\right_2023_10_08_15_34_20_683.jpg, 0, 0, 0, 7.837653E-05
C:\Users\nitin\Desktop\DATA\IMG\center_2023_10_08_15_34_20_787.jpg, C:\Users\nitin\Desktop\DATA\IMG\left_2023_10_08_15_34_20_787.jpg, C:\Users\nitin\Desktop\DATA\IMG\right_2023_10_08_15_34_20_787.jpg, 0, 0, 0, 7.928809E-05
